"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"Jericho";"tete_afe_gref";3;"oeil";"-";0;"POLYGON ((788.2771 -700.2427, 780.7864 -710.2302, 756.6497 -725.2116, 735.8423 -734.3669, 705.0472 -741.8576, 679.246 -742.6899, 651.7801 -734.3669, 623.482 -721.8824, 600.1776 -706.0687, 594.3515 -691.0874, 599.3453 -681.9321, 619.3205 -659.46, 639.2956 -641.1494, 673.4199 -635.3234, 710.8733 -636.988, 743.333 -651.9693, 772.4634 -670.2799, 788.2771 -700.2427))"
"Jericho";"tete_afe_gref";4;"bouche";"-";0;"POLYGON ((534.8421 -924.131, 536.9229 -926.2117, 528.1838 -929.5409, 516.1154 -933.2863, 496.1403 -934.5347, 479.4943 -934.5347, 463.6806 -934.5347, 447.4508 -933.2863, 437.4632 -930.3732, 427.8918 -924.131, 429.9725 -922.4664, 441.6247 -926.6279, 455.3576 -929.1248, 479.9104 -928.2925, 501.1341 -927.8763, 517.78 -927.4602, 534.8421 -924.131))"
"Kfar Hahoresh";"crane_afg";1;"visage";"-";0;"POLYGON ((690.6158 -75.59822, 695.3524 -79.24177, 705.9187 -83.61403, 717.9424 -90.17242, 728.8731 -92.7229, 740.5324 -97.82387, 749.6413 -100.7387, 757.6571 -104.0179, 762.0294 -108.3902, 778.061 -120.7782, 787.5342 -129.8871, 798.4649 -136.0811, 805.0232 -138.6316, 813.7678 -138.6316, 819.2331 -143.3682, 827.9776 -158.3068, 839.637 -167.78, 842.9161 -175.0671, 845.1023 -179.075, 846.1953 -183.0829, 854.2111 -190.7344, 860.4052 -199.4789, 864.0487 -215.5105, 865.8705 -235.1856, 865.5061 -261.7835, 862.5913 -289.4745, 861.4982 -311.3358, 859.3121 -324.0882, 857.8547 -343.7634, 856.3973 -374.3692, 855.3042 -389.6721, 851.6607 -405.3394, 842.1874 -436.3095, 842.1874 -444.6897, 839.637 -453.7985, 840.3657 -466.9153, 836.7221 -470.5589, 827.9776 -486.5905, 819.5974 -519.7468, 818.14 -520.4755, 811.946 -534.6853, 794.0926 -562.0119, 792.6352 -568.206, 789.7203 -574.0356, 785.7124 -582.0514, 779.8828 -586.7881, 765.3086 -610.8355, 752.9205 -630.5106, 744.5403 -634.1542, 728.5087 -653.1006, 721.586 -654.9224, 709.1979 -661.1164, 689.5228 -679.6985, 664.7466 -701.1955, 647.9863 -712.1261, 626.8537 -725.2429, 598.7984 -736.1735, 578.0302 -747.4685, 544.8739 -761.314, 521.5552 -764.9576, 489.492 -763.8645, 469.0881 -757.6705, 447.2268 -759.1279, 424.2724 -761.6784, 393.3023 -761.6784, 366.34 -756.9418, 340.4708 -748.5616, 313.1442 -734.3518, 298.2057 -728.1577, 278.8949 -728.5221, 263.9563 -720.8706, 249.7465 -710.3043, 232.6218 -703.746, 223.5129 -699.3737, 215.4971 -693.1797, 194.3645 -671.6827, 186.3487 -659.659, 176.5112 -641.0769, 167.4023 -624.681, 161.2082 -615.5721, 152.0994 -599.5405, 137.5252 -580.2297, 126.2302 -561.6476, 108.7412 -537.6002, 93.07389 -507.7231, 82.14325 -475.6598, 78.86406 -462.9074, 76.31357 -449.4263, 72.30567 -434.1234, 70.84825 -415.5413, 70.48389 -401.3314, 68.29777 -383.4781, 67.93341 -352.5079, 69.39083 -345.9495, 67.56906 -343.0347, 61.73938 -325.1813, 57.73148 -310.9714, 51.53744 -305.5061, 47.16519 -295.6685, 46.07212 -285.1023, 51.17309 -275.9934, 52.99486 -270.8924, 51.9018 -262.8766, 49.35131 -260.3261, 47.89389 -254.4964, 47.89389 -231.5421, 51.53744 -200.2076, 52.99486 -189.6413, 56.27406 -182.7185, 56.27406 -175.7958, 55.9097 -163.7721, 57.36712 -152.4771, 59.18889 -141.5465, 64.28986 -135.3524, 78.86406 -127.3366, 90.88777 -119.6852, 102.9115 -116.406, 112.3847 -115.6773, 129.145 -111.305, 133.8816 -108.3902, 146.6341 -101.1031, 153.1924 -94.54468, 164.8518 -92.7229, 184.1626 -91.62984, 195.0932 -88.715, 205.6595 -88.715, 224.9703 -82.15661, 253.7544 -73.4121, 291.6473 -64.66758, 307.6789 -63.21016, 320.4313 -56.28742, 343.3857 -45.35677, 371.0766 -37.34097, 397.6745 -33.69742, 429.3734 -31.14693, 458.8861 -30.05387, 461.0723 -38.06968, 466.902 -39.5271, 485.8484 -35.51919, 506.2523 -35.88355, 523.377 -35.88355, 542.3234 -37.70532, 556.8976 -41.34887, 582.7668 -43.535, 598.0697 -45.35677, 618.8379 -49.36468, 638.5131 -56.28742, 667.6615 -67.58242, 690.6158 -75.59822))"
"Kfar Hahoresh";"crane_afg";2;"oeil";"-";0;"POLYGON ((313.63 -290.8105, 307.8003 -289.4745, 302.6994 -288.1385, 296.6268 -287.0455, 288.7324 -287.0455, 279.1378 -286.5597, 268.45 -286.3168, 259.827 -286.3168, 250.8395 -285.831, 241.002 -285.5881, 232.3789 -285.1023, 223.1486 -285.3452, 220.9624 -284.3735, 224.3631 -283.5234, 232.7432 -282.4303, 239.0587 -282.066, 247.3174 -281.0944, 255.5762 -280.0013, 264.1992 -280.0013, 280.1094 -280.2442, 294.3192 -281.8231, 300.6347 -283.8877, 309.865 -287.0455, 313.63 -290.8105))"
"Kfar Hahoresh";"crane_afg";3;"oeil";"-";0;"POLYGON ((666.9328 -314.3721, 665.9611 -317.4084, 660.2529 -322.145, 655.5163 -323.7239, 650.4153 -323.481, 643.4926 -322.6308, 638.2702 -321.7806, 631.226 -321.6592, 621.9957 -320.9305, 613.4941 -319.716, 596.9766 -318.0156, 587.1391 -316.1939, 572.6863 -315.4652, 567.4639 -314.4935, 566.3708 -310.4856, 567.0995 -306.9635, 572.8078 -306.8421, 580.3378 -307.3279, 590.2968 -308.2995, 605.1139 -310.3642, 616.0445 -312.5503, 632.3191 -313.8863, 648.5936 -315.5866, 658.4311 -315.4652, 664.7466 -314.615, 666.9328 -314.3721))"
"Kfar Hahoresh";"crane_afg";4;"bouche";"-";0;"POLYGON ((505.7665 -574.6159, 498.1015 -576.4512, 495.1867 -577.0989, 487.7377 -578.8262, 480.8284 -579.6899, 470.1407 -580.2297, 462.4757 -582.0649, 456.5381 -582.4968, 449.6288 -582.2809, 443.7992 -581.3092, 436.1342 -580.5535, 425.1226 -580.6615, 414.6508 -581.2013, 402.1278 -580.5535, 392.1957 -580.5535, 385.2865 -581.3092, 384.9626 -579.1501, 389.1729 -575.9114, 394.4628 -572.7806, 403.4232 -572.6727, 412.5996 -573.2125, 419.8327 -573.8602, 429.4409 -574.7239, 440.1286 -574.8318, 451.8959 -574.292, 461.2882 -574.1841, 473.2714 -572.9966, 481.4761 -571.917, 488.3854 -570.0817, 493.0275 -569.6499, 499.6129 -570.1897, 505.7665 -574.6159))"
"Qarassa";"figurine__wx";10;"oeil";"-";0;"POLYGON ((131.3531 -103.2458, 129.226 -106.7023, 120.9835 -109.6271, 109.8162 -110.1589, 101.5737 -111.7542, 90.1405 -112.8178, 90.93816 -109.893, 90.67227 -107.5, 96.25592 -104.3093, 103.9667 -101.9164, 115.6657 -102.4481, 131.3531 -103.2458))"
"Qarassa";"figurine__wx";11;"oeil";NA;0;"POLYGON ((227.3506 -105.1479, 229.4807 -107.2779, 229.4807 -108.8755, 227.3506 -110.7393, 222.5579 -110.7393, 213.2388 -110.7393, 199.6596 -112.6031, 189.5418 -111.0056, 192.4706 -108.0767, 198.8608 -103.5503, 206.3161 -102.4853, 220.1616 -103.0178, 227.3506 -105.1479))"
"Qarassa";"figurine__wx";12;"bouche";"-";0;"POLYGON ((160.6008 -192.5842, 163.2597 -194.4454, 161.3985 -196.5725, 160.069 -198.4337, 156.0807 -199.2314, 145.7111 -199.2314, 136.405 -199.2314, 129.7578 -199.2314, 122.5788 -199.2314, 120.9835 -197.1043, 122.5788 -194.4454, 127.3648 -192.5842, 139.0639 -191.5206, 148.6359 -191.5206, 160.6008 -192.5842))"
"Qarassa";"figurine__wx";13;"oeil";NA;0;"POLYGON ((123.0558 -438.4901, 123.5688 -440.0292, 118.182 -441.5683, 97.91728 -444.3899, 86.8871 -443.1074, 87.91317 -437.977, 98.43031 -435.6684, 112.5387 -436.1814, 123.0558 -438.4901))"
"Qarassa";"figurine__wx";14;"oeil";NA;0;"POLYGON ((221.0448 -434.1293, 222.3274 -437.2075, 216.684 -440.0292, 202.5756 -440.5422, 189.2368 -440.2857, 189.2368 -434.6423, 204.3713 -433.6163, 221.0448 -434.1293))"
"Qarassa";"figurine__wx";15;"bouche";NA;0;"POLYGON ((184.6196 -519.8055, 186.6717 -521.8577, 184.363 -526.2184, 176.1545 -528.014, 152.8116 -528.2705, 135.8816 -528.014, 134.8555 -523.9098, 142.2945 -521.6011, 161.2766 -519.549, 175.898 -518.5229, 184.6196 -519.8055))"
"Qarassa";"figurine__wx";16;"visage";NA;0;"POLYGON ((147.4248 -307.6671, 171.5373 -306.128, 222.8404 -315.8756, 230.0228 -336.9099, 231.5619 -381.5436, 232.588 -442.0813, 231.5619 -488.7671, 216.684 -535.453, 196.1628 -555.9742, 174.1024 -558.5394, 140.7554 -558.0264, 117.669 -549.8179, 95.60864 -532.8878, 81.24376 -517.4969, 75.08739 -495.9496, 74.57435 -452.3419, 74.06132 -415.4037, 75.60042 -375.3872, 78.6786 -323.5711, 93.55651 -315.3626, 127.4166 -308.1801, 147.4248 -307.6671))"
