site	decor	a	b	type
1	Tres Arroyos	Tres Arroyos - Albuquerque	1	2	=
2	Tres Arroyos	Tres Arroyos - Albuquerque	2	3	=
3	Tres Arroyos	Tres Arroyos - Albuquerque	3	4	=
4	Carneril (El)	El Carneril_Trujillo	2	3	=
5	Carneril (El)	El Carneril_Trujillo	1	2	=
6	Granja de Cespedes	Granja De Cespedes-Badajoz	1	2	=
7	Granja de Cespedes	Granja De Cespedes-Badajoz	2	3	=
