"";"num";"object";"Pb206_Pb204";"Pb207_Pb204";"Pb208_Pb204";"color.object";"symbol";"Pb206_Pb204.perc";"Pb207_Pb204.perc";"Pb208_Pb204.perc"
"330";"Segura de Banos";"Iberian Peninsula";18,489;15,705;38,858;"#FFA500";"triangle";25,31;21,5;53,19
"331";"Segura de Banos";"Iberian Peninsula";18,547;15,768;39,076;"#FFA500";"triangle";25,27;21,48;53,24
"332";"Santa Cruz";"Iberian Peninsula";18,291;15,717;38,548;"#FFA500";"triangle";25,21;21,66;53,13
"333";"Santa Cruz";"Iberian Peninsula";18,303;15,737;38,611;"#FFA500";"triangle";25,19;21,66;53,15
"334";"Santa Cruz";"Iberian Peninsula";18,295;15,724;38,567;"#FFA500";"triangle";25,2;21,66;53,13
"335";"Minas de Hembrar";"Iberian Peninsula";18,1688;15,6223;38,1047;"#FFA500";"triangle";25,27;21,73;53
"336";"Mina Amorosa";"Iberian Peninsula";18,8825;15,7108;39,1308;"#FFA500";"triangle";25,61;21,31;53,08
"337";"Mina Amorosa";"Iberian Peninsula";18,8832;15,7129;39,131;"#FFA500";"triangle";25,61;21,31;53,08
"338";"Mina de la Bartola";"Iberian Peninsula";20,3909;15,8044;39,2364;"#FFA500";"triangle";27,03;20,95;52,02
"339";"Mina de la Bartola";"Iberian Peninsula";20,0565;15,7645;39,1096;"#FFA500";"triangle";26,77;21,04;52,19
"340";"Minas del Misteri";"Iberian Peninsula";18,3228;15,6881;38,5623;"#FFA500";"triangle";25,25;21,62;53,14
"341";"Minas del Misteri";"Iberian Peninsula";18,3395;15,6881;38,5853;"#FFA500";"triangle";25,26;21,61;53,14
"342";"Minas del Misteri";"Iberian Peninsula";18,3224;15,6863;38,5559;"#FFA500";"triangle";25,25;21,62;53,13
"343";"Minas del Misteri";"Iberian Peninsula";18,3629;15,6851;38,5899;"#FFA500";"triangle";25,28;21,59;53,13
"344";"Mina Campoy";"Iberian Peninsula";18,6322;15,6986;38,9407;"#FFA500";"triangle";25,43;21,43;53,15
"345";"Mina Campoy";"Iberian Peninsula";18,6334;15,6997;38,9437;"#FFA500";"triangle";25,43;21,43;53,15
"346";"Mina de la Murta";"Iberian Peninsula";18,9768;15,7146;38,8326;"#FFA500";"triangle";25,81;21,37;52,82
"347";"Mina Solaig";"Iberian Peninsula";18,8887;15,705;38,7552;"#FFA500";"triangle";25,75;21,41;52,84
"348";"Mina Solaig";"Iberian Peninsula";18,913;15,7083;38,7916;"#FFA500";"triangle";25,76;21,4;52,84
"349";"Mina de Miravet";"Iberian Peninsula";18,4205;15,6666;38,6178;"#FFA500";"triangle";25,34;21,55;53,12
"350";"Mina de Miravet";"Iberian Peninsula";18,4192;15,6657;38,615;"#FFA500";"triangle";25,34;21,55;53,12
"351";"Mina de Miravet";"Iberian Peninsula";18,4163;15,6731;38,6302;"#FFA500";"triangle";25,33;21,55;53,12
"352";"Mina Sta Agueda";"Iberian Peninsula";18,5963;15,686;38,7705;"#FFA500";"triangle";25,46;21,47;53,07
"353";"Mina Sta Agueda";"Iberian Peninsula";18,5961;15,6835;38,7795;"#FFA500";"triangle";25,45;21,47;53,08
"354";"Aljustrel";"Iberian Peninsula";18,18;15,6075;38,138;"#FFA500";"triangle";25,28;21,7;53,02
"355";"Aljustrel";"Iberian Peninsula";18,188;15,6108;38,133;"#FFA500";"triangle";25,29;21,7;53,01
"356";"Aljustrel";"Iberian Peninsula";18,27637;15,62711;38,30711;"#FFA500";"triangle";25,31;21,64;53,05
"357";"Aljustrel (Algares level -250 m)";"Iberian Peninsula";18,201;15,629;38,204;"#FFA500";"triangle";25,27;21,7;53,04
"358";"Aljustrel (Algares level -250 m)";"Iberian Peninsula";18,18;15,638;38,251;"#FFA500";"triangle";25,23;21,7;53,08
"359";"Aljustrel (Algares level -250 m)";"Iberian Peninsula";18,172;15,63;38,249;"#FFA500";"triangle";25,22;21,69;53,09
"360";"Aljustrel (Algares level -250 m)";"Iberian Peninsula";18,17;15,624;38,193;"#FFA500";"triangle";25,24;21,7;53,06
"361";"Aljustrel (Algares level -250 m)";"Iberian Peninsula";18,173;15,627;38,211;"#FFA500";"triangle";25,24;21,7;53,06
"362";"Aljustrel (Algares level -250 m)";"Iberian Peninsula";18,175;15,627;38,228;"#FFA500";"triangle";25,23;21,7;53,07
"363";"Aljustrel (Moinho level -155 m)";"Iberian Peninsula";18,188;15,633;38,222;"#FFA500";"triangle";25,25;21,7;53,05
"364";"Aljustrel (Moinho level -155 m)";"Iberian Peninsula";18,184;15,63;38,198;"#FFA500";"triangle";25,25;21,7;53,04
"365";"Aljustrel (Moinho level -155 m)";"Iberian Peninsula";18,214;15,638;38,229;"#FFA500";"triangle";25,27;21,7;53,04
