idf	site	decor	img
1	1	Badalona	stele_2_aaa	Badalona_stele_2_aaa.jpg
2	2	Tossal de les Forques	stele	Tossal de les Forques_stele.jpg
3	3	Sebastia de la Guarda	stele_2_aaa	Sebastia de la Guarda_stele_2_aaa.jpg
4	4	Badalona	stele_1_aaa	Badalona_stele_1_aaa.jpg
5	5	Sebastia de la Guarda	stele_1_aaa	Sebastia de la Guarda_stele_1_aaa.jpg
